gene,human_disease_association
MTMR3,"Inflammatory bowel disease, Intracranial aneurysm, Hypothyroidism, Dental caries, IgA glomerulonephritis, Lung carcinoma, Autoimmune thyroiditis, Crohn's disease"
MTMR4,"Testicular cancer, Testicular germ cell cancer"
MTMR7,Creutzfeldt-Jakob disease
MTMR9,"Chronic obstructive pulmonary disease, Obesity"
MTNR1B,"Gestational diabetes, Conduct disorder, Abdominal obesity-metabolic syndrome 1, Retinal detachment"
MTPAP,"Inflammatory bowel disease, Crohn's disease"
MTR,Attention deficit hyperactivity disorder
MTRNR2L10,Androgenic alopecia
MTRNR2L4,Attention deficit hyperactivity disorder
MTRNR2L5,Attention deficit hyperactivity disorder
MTRNR2L6,Alcoholic pancreatitis
MTRR,"Attention deficit hyperactivity disorder, Bipolar disorder"
MTSS1,Peripheral artery disease
MTSS1L,Neuropathy
MTX1,"Intracranial aneurysm, Dental caries, Gastric adenocarcinoma, Crohn's disease"
MTX2,Ovarian mucinous adenocarcinoma
MTX3,Attention deficit hyperactivity disorder
MUC1,"non-alcoholic fatty liver disease, Intracranial aneurysm, Dental caries, Gastric adenocarcinoma, Crohn's disease"
MUC12,Chronic kidney disease
MUC17,"Attention deficit hyperactivity disorder, Chronic kidney disease"
MUC20,Lung disease
MUC21,"Cutaneous lupus erythematosus, Swine influenza, Colorectal adenoma, Autism spectrum disorder, Prostate carcinoma, Membranous glomerulonephritis, Graves' disease, Hypothyroidism, Endogenous depression, Lung carcinoma, Lung squamous cell carcinoma, Cervical cancer, Human immunodeficiency virus infectious disease, Oropharynx cancer, Psoriasis, Psoriatic arthritis, Systemic lupus erythematosus, Colorectal cancer"
MUC22,"Cutaneous lupus erythematosus, Swine influenza, Peripheral artery disease, Colorectal adenoma, Autism spectrum disorder, Leprosy, Prostate carcinoma, Membranous glomerulonephritis, Graves' disease, Behcet's disease, Hypothyroidism, Endogenous depression, Takayasu's arteritis, Lung carcinoma, Lung squamous cell carcinoma, Cervical cancer, Human immunodeficiency virus infectious disease, Mature B-cell neoplasm, Oropharynx cancer, Psoriasis, Psoriatic arthritis, Systemic lupus erythematosus, Colorectal cancer"
MUC3A,"Hypertension, Chronic kidney disease"
MUC4,Lung disease
MUC5AC,"Idiopathic pulmonary fibrosis, Asthma"
MUC5B,"Idiopathic pulmonary fibrosis, Asthma"
MUC6,"Asthma, Interstitial lung disease"
MUC7,Chronic kidney disease
MUCL1,Allergic rhinitis
MUS81,"Inflammatory bowel disease, Basal cell carcinoma, Atopic dermatitis, Breast carcinoma, Allergic rhinitis, Crohn's disease, Psoriasis, Systemic lupus erythematosus"
MUSK,Heart disease
MUSTN1,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Bipolar I disorder, Endogenous depression, Osteoarthritis"
MVB12A,Rheumatoid arthritis
MVB12B,"Glaucoma, Osteoarthritis"
MVK,Heart disease
MVP,"Autism spectrum disorder, Dental caries"
MX1,"Prostate carcinoma, Melanoma, Skin melanoma"
MX2,"Melanoma, Skin melanoma"
MXD1,Atrial fibrillation
MXD3,"Inflammatory bowel disease, Nephrolithiasis, Chronic kidney disease, Ulcerative colitis, Crohn's disease"
MXRA8,"Inflammatory bowel disease, Ulcerative colitis"
MYADM,Testicular germ cell cancer
MYADML2,Attention deficit hyperactivity disorder
MYB,"Hodgkin's lymphoma, Hodgkin's lymphoma, nodular sclerosis"
MYBBP1A,"Sinusitis, Nasal cavity disease, Allergic rhinitis, Rheumatoid arthritis"
MYBPC2,Primary biliary cholangitis
MYBPC3,"Prostate carcinoma, open-angle glaucoma, Hypertension, Abdominal obesity-metabolic syndrome 1, Endogenous depression, Cerebrovascular disease"
MYBPHL,"Peripheral artery disease, Heart disease, Myocardial infarction, Abdominal aortic aneurysm"
MYC,"Cancer, Ovarian carcinoma, Allergic rhinitis, Pancreatic carcinoma"
MYEOV,"Prostate carcinoma, Intracranial aneurysm, Renal cell carcinoma, Acne"
MYH11,"Heart disease, Multiple myeloma"
MYH15,"Attention deficit hyperactivity disorder, Endogenous depression, Anxiety disorder, Bipolar disorder"
MYH6,Atrial fibrillation
MYH7,Atrial fibrillation
MYH7B,"Congenital heart disease, Vascular disease, Melanoma, Basal cell carcinoma"
MYH9,Chronic kidney disease
MYL10,"Attention deficit hyperactivity disorder, Basal cell carcinoma"
MYL2,"Heart disease, Gout, Myocardial infarction, Cleft lip"
MYL3,Breast carcinoma
MYL4,Hypothyroidism
MYL6,"Attention deficit hyperactivity disorder, Polycystic ovary syndrome, Allergic rhinitis, Autoimmune thyroiditis, Anorexia nervosa, Psoriasis, Alopecia areata"
MYL6B,"Attention deficit hyperactivity disorder, Polycystic ovary syndrome, Asthma, Allergic rhinitis, Autoimmune thyroiditis, Anorexia nervosa, Alopecia areata"
MYL7,"Carpal tunnel syndrome, Abdominal obesity-metabolic syndrome 1"
MYL9,"Cancer, Melanoma"
MYLK4,Malaria
MYLPF,Ulcerative colitis
MYNN,"Idiopathic pulmonary fibrosis, Chronic lymphocytic leukemia, Uterine fibroid, Central nervous system cancer, Lung non-small cell carcinoma, Lung adenocarcinoma, Thyroid gland carcinoma, Renal cell carcinoma, Skin melanoma, Systemic lupus erythematosus, Colorectal cancer, Multiple myeloma"
MYO15A,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Basal cell carcinoma, Myocardial infarction"
MYO18A,"Attention deficit hyperactivity disorder, Endogenous depression, Bipolar disorder"
MYO18B,Atrial fibrillation
MYO19,"Gilles de la Tourette syndrome, Chronic kidney disease"
MYO1A,"Colorectal adenoma, Attention deficit hyperactivity disorder, Asthma, Allergic rhinitis, Abdominal aortic aneurysm, Colorectal cancer"
MYO1B,Behcet's disease
MYO1C,Atrial fibrillation
MYO1D,Attention deficit hyperactivity disorder
MYO1F,Carpal tunnel syndrome
MYO1G,Heart disease
MYO1H,"Heart disease, Endogenous depression"
MYO6,Prostate carcinoma
MYO9B,"estrogen-receptor negative breast cancer, triple-receptor negative breast cancer, Prostate carcinoma, Hypertension, Breast carcinoma, Ovarian carcinoma"
MYOC,Glaucoma
MYOCD,Atrial fibrillation
MYOD1,Hodgkin's lymphoma
MYOG,Atrial fibrillation
MYOM2,Allergic rhinitis
MYOM3,Psoriasis
MYOZ1,Atrial fibrillation
MYPOP,"Gallbladder disease, Heart disease, Colon cancer, Chronic obstructive pulmonary disease, Myocardial infarction"
MYRF,"Inflammatory bowel disease, Colorectal adenoma, Gallbladder disease, Bipolar I disorder, Abdominal obesity-metabolic syndrome 1, Endogenous depression, Aortic valve stenosis, Nasal cavity disease, Asthma, Laryngeal squamous cell carcinoma, Rheumatoid arthritis, Crohn's disease, Colorectal cancer"
MYT1,"Restless legs syndrome, Heart disease, Abdominal obesity-metabolic syndrome 1"
MYZAP,Atrial fibrillation
MZB1,Esophagus squamous cell carcinoma
MZF1,"Colorectal adenoma, Colorectal cancer"
Mar-01,"Heart disease, Myocardial infarction, Chronic kidney disease"
Mar-02,"Heart disease, Abdominal obesity-metabolic syndrome 1"
Mar-07,Autoimmune thyroiditis
Mar-08,"Gallbladder disease, Prostate carcinoma"
Mar-11,Breast carcinoma
N4BP2L1,"estrogen-receptor negative breast cancer, Prostate carcinoma, Heart disease, Squamous cell carcinoma, Basal cell carcinoma, Breast carcinoma, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Ovarian carcinoma, Lung small cell carcinoma, Endometrioid ovary carcinoma, Myocardial infarction, Colorectal cancer"
N4BP2L2,"estrogen-receptor negative breast cancer, Prostate carcinoma, Heart disease, Squamous cell carcinoma, Basal cell carcinoma, Breast carcinoma, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Ovarian carcinoma, Lung small cell carcinoma, Endometrioid ovary carcinoma, Myocardial infarction, Colorectal cancer"
NAA10,"Celiac disease, Rheumatoid arthritis, Systemic lupus erythematosus"
NAA11,"Attention deficit hyperactivity disorder, Endogenous depression"
NAA25,"Esophageal carcinoma, Gout, Myocardial infarction, Colorectal cancer, Cleft lip"
NAA38,"Prostate carcinoma, Attention deficit hyperactivity disorder, Uterine fibroid, Skin carcinoma"
NAA40,"Endogenous depression, Bipolar disorder"
NAALAD2,Endogenous depression
NAALADL1,"Abdominal obesity-metabolic syndrome 1, Acne"
NAALADL2,Prostate carcinoma
NAB1,"Primary biliary cholangitis, Idiopathic generalized epilepsy, Systemic scleroderma, Myositis, Rheumatoid arthritis, Systemic lupus erythematosus"
NAB2,"Colorectal adenoma, Attention deficit hyperactivity disorder, Asthma, Allergic rhinitis, Abdominal aortic aneurysm, Colorectal cancer"
NABP1,"Osteoarthritis, Colorectal cancer"
NABP2,"Skin disease, Psoriasis"
NACA,Atrial fibrillation
NACA2,Osteoarthritis
NACAD,"Colorectal adenoma, Heart disease, Colorectal cancer"
NACC1,"Vascular disease, Bipolar disorder"
NADSYN1,Systemic lupus erythematosus
NAGA,Autism spectrum disorder
NAGLU,Abdominal obesity-metabolic syndrome 1
NAGPA,Prostate carcinoma
NANOG,Intracranial aneurysm
NANOGNB,Intracranial aneurysm
NANOS2,"Gallbladder disease, Heart disease, Colon cancer"
NANOS3,Hodgkin's lymphoma
NANP,Attention deficit hyperactivity disorder
NANS,Primary biliary cholangitis
NAP1L5,Attention deficit hyperactivity disorder
NAPA,Intracranial aneurysm
NAPSA,Primary biliary cholangitis
NARFL,"Bone disease, Attention deficit hyperactivity disorder"
NARS,Gallbladder disease
NAT16,Attention deficit hyperactivity disorder
NAT2,"Heart disease, Liver disease, Essential tremor"
NAT8,Attention deficit hyperactivity disorder
NAV1,"Heart disease, Endogenous depression, Myocardial infarction"
NAV2,"Atrial fibrillation, Acne"
NBAS,Endogenous depression
NBEA,Attention deficit hyperactivity disorder
NBEAL1,"Heart disease, Myocardial infarction, Cerebrovascular disease"
NBL1,"Hypothyroidism, Hyperthyroidism"
NBN,Crohn's disease
NBPF3,"Aortic valve stenosis, Nephrolithiasis"
NCALD,Heart disease
NCAM1,"Attention deficit hyperactivity disorder, Endogenous depression"
NCAM2,Attention deficit hyperactivity disorder
NCAN,"non-alcoholic fatty liver disease, Alcoholic liver cirrhosis, Bipolar I disorder, Endogenous depression"
NCAPD2,Celiac disease
NCAPG,Lung squamous cell carcinoma
NCAPG2,Testicular germ cell cancer
NCAPH2,"Diffuse large B-cell lymphoma, Sensorineural hearing loss, Chronic lymphocytic leukemia"
NCBP1,"Hypothyroidism, Thyroid gland carcinoma, Esophagus adenocarcinoma, Autoimmune thyroiditis, Barrett's esophagus"
NCCRP1,"Hepatitis C, Ovarian mucinous adenocarcinoma, Hepatocellular carcinoma"
NCEH1,estrogen-receptor negative breast cancer
NCF1,"Atrial fibrillation, Sjogren's syndrome"
NCF2,"Celiac disease, Systemic scleroderma, Myositis, Rheumatoid arthritis, Systemic lupus erythematosus"
NCF4,"Allergic rhinitis, Crohn's disease"
NCK1,Endogenous depression
NCKAP5,Attention deficit hyperactivity disorder
NCKIPSD,"Inflammatory bowel disease, Endogenous depression, Myocardial infarction, Ulcerative colitis, Anorexia nervosa, Crohn's disease"
NCOA1,"Diffuse large B-cell lymphoma, Breast carcinoma"
NCOA2,"Endogenous depression, Endometriosis, Testicular cancer, Testicular germ cell cancer"
NCOA4,Prostate carcinoma
NCOA5,"Inflammatory bowel disease, Diffuse large B-cell lymphoma, Autism spectrum disorder, Celiac disease, Age related macular degeneration, Kuhnt-Junius degeneration, Attention deficit hyperactivity disorder, Heart disease, Kawasaki disease, Endogenous depression, Hepatitis B, Bipolar disorder, Rheumatoid arthritis, Hodgkin's lymphoma, Crohn's disease, Systemic lupus erythematosus"
NCOA6,"Heart disease, Vascular disease, Melanoma, Skin carcinoma"
NCOA7,Endometrial carcinoma
NCOR2,"Hypertension, Heart disease, Myocardial infarction, Osteoarthritis"
NCR1,"Inflammatory bowel disease, Vascular disease, Ulcerative colitis"
NCR3,"Cutaneous lupus erythematosus, Stevens-Johnson syndrome, Autism spectrum disorder, Hypertension, Membranous glomerulonephritis, Dengue hemorrhagic fever, Cancer, Laryngeal squamous cell carcinoma, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Cervical cancer, Myositis, Rheumatoid arthritis, Autoimmune thyroiditis, Crohn's disease, Psoriatic arthritis"
NCR3LG1,Psoriasis
NCS1,Barrett's esophagus
NDE1,Heart disease
NDFIP1,"Inflammatory bowel disease, Primary biliary cholangitis, Asthma, Allergic rhinitis, Crohn's disease"
NDFIP2,Attention deficit hyperactivity disorder
NDRG1,Autoimmune thyroiditis
NDRG3,"Cancer, Melanoma"
NDRG4,Autism spectrum disorder
NDST2,"Myocardial infarction, Crohn's disease, Psoriasis"
NDUFA11,"Gallbladder disease, Cholelithiasis, Age related macular degeneration, Kuhnt-Junius degeneration"
NDUFA12,"Intracranial aneurysm, Heart disease, Myocardial infarction"
NDUFA13,"non-alcoholic fatty liver disease, Prostate carcinoma, Gilles de la Tourette syndrome, Alcoholic liver cirrhosis, Breast carcinoma, Ovarian carcinoma"
NDUFA3,"Alcoholic liver cirrhosis, Takayasu's arteritis"
NDUFA4L2,"Colorectal adenoma, Autism spectrum disorder, Heart disease, Abdominal aortic aneurysm, Colorectal cancer"
NDUFA6,Autism spectrum disorder
NDUFA7,"Heart disease, Abdominal obesity-metabolic syndrome 1"
NDUFA8,Lung squamous cell carcinoma
NDUFAF1,Allergic rhinitis
NDUFAF2,"Autism spectrum disorder, Attention deficit hyperactivity disorder"
NDUFAF3,Heart disease
NDUFAF6,"non-alcoholic fatty liver disease, Prostate carcinoma, Neuropathy"
NDUFB10,Atrial fibrillation
NDUFB3,Chronic lymphocytic leukemia
NDUFB7,Nephrolithiasis
NDUFB9,Peripheral artery disease
NDUFS2,Allergic rhinitis
NDUFS3,"Hypertension, Abdominal obesity-metabolic syndrome 1, Endogenous depression"
NDUFS6,Prostate carcinoma
NEBL,"Atrial fibrillation, Coronary aneurysm"
NECAB3,Skin carcinoma
NEDD4,"Reactive cutaneous fibrous lesion, Testicular germ cell cancer, Plantar fascial fibromatosis"
NEDD4L,"non-alcoholic fatty liver disease, Appendicitis"
NEDD8,Language disorder
NEDD9,"Prostate carcinoma, Dental caries"
NEGR1,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Endogenous depression, Endometriosis, Bipolar disorder, Allergic rhinitis, Gastroesophageal reflux disease, Obesity"
NEIL2,"Polycystic ovary syndrome, Testicular germ cell cancer"
NEK1,Autism spectrum disorder
NEK10,"Uterine fibroid, Cancer, Breast carcinoma"
NEK4,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Bipolar I disorder, Endogenous depression, Osteoarthritis"
NEK6,"Atrial fibrillation, Vitiligo, Hypothyroidism, Allergic rhinitis"
NEK9,Heart disease
NELFB,Endogenous depression
NELFCD,Colorectal cancer
NELFE,"Autism spectrum disorder, non-alcoholic fatty liver disease, Hypertension, Age related macular degeneration, Kuhnt-Junius degeneration, Membranous glomerulonephritis, Heart disease, Vitiligo, Hepatitis B, Basal cell carcinoma, Endometriosis, Lung carcinoma, Lung squamous cell carcinoma, Cervical cancer, Autoimmune thyroiditis, Ulcerative colitis, Neuromyelitis optica, Psoriatic arthritis, Systemic lupus erythematosus"
NEO1,"Atrial fibrillation, Dental caries"
NEU1,"Autism spectrum disorder, non-alcoholic fatty liver disease, Hypertension, Age related macular degeneration, Kuhnt-Junius degeneration, Membranous glomerulonephritis, Heart disease, Vitiligo, Eosinophilic esophagitis, Hepatitis B, Basal cell carcinoma, Endometriosis, Chronic obstructive pulmonary disease, Lung carcinoma, Lung squamous cell carcinoma, Cervical cancer, Autoimmune thyroiditis, Ulcerative colitis, Systemic lupus erythematosus"
NEU4,"Brain glioma, Asthma, Allergic rhinitis, Crohn's disease"
NEURL1,Atrial fibrillation
NEURL2,"Celiac disease, Age related macular degeneration, Kuhnt-Junius degeneration, Heart disease, Abdominal aortic aneurysm"
NEURL4,"Uterine fibroid, Hypothyroidism, Vascular disease, Autoimmune thyroiditis"
NEUROD2,"Bipolar disorder, Rheumatoid arthritis"
NEUROD4,Allergic rhinitis
NEUROD6,Attention deficit hyperactivity disorder
NEUROG3,Vascular disease
NEXN,"Lung carcinoma, Lung adenocarcinoma"
NF1,"Endometrial carcinoma, Osteoarthritis"
NFAM1,"Attention deficit hyperactivity disorder, Endogenous depression, Bipolar disorder"
NFASC,Attention deficit hyperactivity disorder
NFAT5,"Attention deficit hyperactivity disorder, Abdominal obesity-metabolic syndrome 1, Osteoarthritis"
NFATC1,"Inflammatory bowel disease, Hypothyroidism, Rheumatoid arthritis, Chronic kidney disease, Crohn's disease"
NFATC2,Allergic rhinitis
NFATC2IP,Bipolar disorder
NFATC3,Primary biliary cholangitis
NFATC4,Language disorder
NFE2L1,"Epilepsy, Idiopathic generalized epilepsy"
NFIA,"Celiac disease, Attention deficit hyperactivity disorder"
NFIB,"Bone disease, Attention deficit hyperactivity disorder"
NFIC,Skin melanoma
NFIL3,Vascular dementia
NFIX,"Vascular disease, Bipolar disorder"
NFKB1,"Attention deficit hyperactivity disorder, Membranous glomerulonephritis, Primary biliary cholangitis, Endogenous depression, Systemic scleroderma, Allergic rhinitis, Ulcerative colitis"
NFKB2,Allergic rhinitis
NFKBIA,Psoriasis
NFKBID,Nephrotic syndrome
NFKBIE,Rheumatoid arthritis
NFKBIL1,"Stevens-Johnson syndrome, Autism spectrum disorder, Bone disease, Hypertension, Membranous glomerulonephritis, Carpal tunnel syndrome, Dengue hemorrhagic fever, Abdominal obesity-metabolic syndrome 1, Cancer, Laryngeal squamous cell carcinoma, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Liver disease, Cervical cancer, Allergic rhinitis, Human immunodeficiency virus infectious disease, Myositis, Acquired immunodeficiency syndrome, Rheumatoid arthritis, Autoimmune thyroiditis, Herpes zoster, Hodgkin's lymphoma, Ulcerative colitis, Crohn's disease, Psoriasis, Psoriatic arthritis"
NFKBIZ,Psoriasis
NFS1,Skin carcinoma
NFU1,Dental caries
NFX1,"Swine influenza, Lung adenocarcinoma"
NFYA,"Alzheimer's disease, Stomach carcinoma"
NGDN,Atrial fibrillation
NGEF,"Autism spectrum disorder, Gilles de la Tourette syndrome, Endogenous depression, Bipolar disorder"
